[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to rezervbase of type sptBear, time: -1, chance: 15, zone: ZoneBarrack,ZonePTOR1,ZonePTOR2,ZoneSubCommand,ZoneSubStorage,ZoneRailStrorage
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to rezervbase of type sptUsec, time: -1, chance: 15, zone: ZoneBarrack,ZonePTOR1,ZonePTOR2,ZoneSubCommand,ZoneSubStorage,ZoneRailStrorage
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to rezervbase of type sptUsec, time: -1, chance: 15, zone: ZoneBarrack,ZonePTOR1,ZonePTOR2,ZoneSubCommand,ZoneSubStorage,ZoneRailStrorage
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to sandbox of type sptBear, time: -1, chance: 30, zone: ZoneSandbox
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to sandbox of type sptUsec, time: -1, chance: 30, zone: ZoneSandbox
[2024-06-12T15:04:02.402Z] info: 	[Requête Client] /client/menu/locale/fr
[2024-06-12T15:04:02.466Z] info: 	[Requête Client] /client/game/version/validate
[2024-06-12T15:04:02.520Z] info: 	[Requête Client] /client/languages
[2024-06-12T15:04:02.578Z] info: 	[Requête Client] /client/game/config
[2024-06-12T15:04:03.508Z] info: 	[Requête Client] /client/items
[2024-06-12T15:04:06.700Z] debug: 	Saved 1 profiles, took: 0.06ms
[2024-06-12T15:04:09.451Z] info: 	[Requête Client] /client/customization
[2024-06-12T15:04:09.572Z] info: 	[Requête Client] /client/globals
[2024-06-12T15:04:10.107Z] info: 	[Requête Client] /client/trading/api/traderSettings
[2024-06-12T15:04:10.159Z] info: 	[Requête Client] /client/settings
[2024-06-12T15:04:10.209Z] info: 	[Requête Client] /client/game/profile/list
[2024-06-12T15:04:10.280Z] info: 	[Requête Client] /client/locale/en
[2024-06-12T15:04:10.303Z] info: 	[Requête Client] /client/account/customization
[2024-06-12T15:04:10.576Z] info: 	[Requête Client] /client/locale/ru
[2024-06-12T15:04:10.947Z] info: 	[Requête Client] /client/locale/ge
[2024-06-12T15:04:11.293Z] info: 	[Requête Client] /client/locale/fr
[2024-06-12T15:04:14.380Z] info: 	[Requête Client] /client/game/profile/nickname/reserved
[2024-06-12T15:04:18.978Z] info: 	[Requête Client] /client/game/profile/nickname/validate
[2024-06-12T15:04:26.727Z] debug: 	Saved 1 profiles, took: 0.12ms
[2024-06-12T15:04:44.563Z] info: 	[Requête Client] /launcher/profile/info
